model,method,bits,nominal_bits,model_bits,ppl,ppl_ci_low,ppl_ci_high,n_seeds,source,accounting_status
Qwen/Qwen2.5-3B,SEQ:act_scale(gptq_llmc-4b k=0.02),4.571,4.24,7.337,8.3725,,,1,sweep,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,SEQ:greedy_indep(hqq-4b k=0.02),4.821,4.24,7.562,8.2717,,,1,sweep,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,SEQ:greedy(hqq-4b k=0.02),4.821,4.24,7.562,8.2738,,,1,sweep,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,SEQ:residual_rms(hqq-4b k=0.02),4.821,4.24,7.562,8.2791,,,1,sweep,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,SEQ:act_max(hqq-4b k=0.02),4.821,4.24,7.562,8.2858,,,1,sweep,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,SEQ:residual_max(hqq-4b k=0.02),4.821,4.24,7.562,8.287,,,1,sweep,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,SEQ:act_scale(hqq-4b k=0.02),4.821,4.24,7.562,8.3,,,1,sweep,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,SEQ:random(hqq-4b k=0.02),4.821,4.24,7.562,8.6538,8.6405,8.6671,3,sweep,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,SEQ:random(gptq_llmc-4b k=0.05),5.054,4.603,7.772,8.3022,8.2531,8.3512,3,sweep,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,SEQ:residual_rms(gptq_llmc-4b k=0.05),5.054,4.603,7.772,8.326,,,1,sweep,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,SEQ:residual_max(gptq_llmc-4b k=0.05),5.054,4.603,7.772,8.3317,,,1,sweep,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,SEQ:act_max(gptq_llmc-4b k=0.05),5.054,4.603,7.772,8.3518,,,1,sweep,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,SEQ:greedy(gptq_llmc-4b k=0.05),5.054,4.603,7.772,8.3536,,,1,sweep,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,SEQ:act_scale(gptq_llmc-4b k=0.05),5.054,4.603,7.772,8.3569,,,1,sweep,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,SEQ:greedy_indep(gptq_llmc-4b k=0.05),5.054,4.603,7.772,8.3698,,,1,sweep,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,SEQ:greedy(hqq-4b k=0.05),5.304,4.603,7.997,8.2448,,,1,sweep,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,SEQ:greedy_indep(hqq-4b k=0.05),5.304,4.603,7.997,8.246,,,1,sweep,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,SEQ:residual_rms(hqq-4b k=0.05),5.304,4.603,7.997,8.2612,,,1,sweep,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,SEQ:residual_max(hqq-4b k=0.05),5.304,4.603,7.997,8.2628,,,1,sweep,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,SEQ:act_max(hqq-4b k=0.05),5.304,4.603,7.997,8.2672,,,1,sweep,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,SEQ:act_scale(hqq-4b k=0.05),5.304,4.603,7.997,8.2813,,,1,sweep,recomputed_from_storage_breakdown
