model,method,bits,nominal_bits,model_bits,ppl,ppl_ci_low,ppl_ci_high,n_seeds,source,accounting_status
meta-llama/Llama-3.2-3B,SEQ:random(hqq-4b k=0.1),6.104,5.203,8.067,8.3323,8.3227,8.342,3,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:random(gptq_llmc-4b k=0.1),6.104,5.203,8.067,8.4337,7.3371,9.5304,3,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy(gptq_llmc-4b k=0.1),6.104,5.203,8.067,46.0269,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy_indep(gptq_llmc-4b k=0.1),6.104,5.203,8.067,46.7776,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_max(hqq-6b k=0.0),6.5,6.0,8.463,7.8449,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,HQQ-6 uniform,6.5,6.0,8.463,7.8449,,,1,baseline,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy(hqq-4b k=0.2),7.703,6.402,9.666,8.0278,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy_indep(hqq-4b k=0.2),7.703,6.402,9.666,8.0371,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_max(hqq-4b k=0.2),7.703,6.402,9.666,8.047,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_max(hqq-4b k=0.2),7.703,6.402,9.666,8.0483,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_max(gptq_llmc-4b k=0.2),7.703,6.402,9.666,8.0697,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_rms(hqq-4b k=0.2),7.703,6.402,9.666,8.0903,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_scale(hqq-4b k=0.2),7.703,6.402,9.666,8.0958,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_max(gptq_llmc-4b k=0.2),7.703,6.402,9.666,8.1062,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_rms(gptq_llmc-4b k=0.2),7.703,6.402,9.666,8.1289,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_scale(gptq_llmc-4b k=0.2),7.703,6.402,9.666,8.1525,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:random(hqq-4b k=0.2),7.703,6.402,9.666,8.2434,8.0246,8.4621,3,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:random(gptq_llmc-4b k=0.2),7.703,6.402,9.666,8.3419,7.9072,8.7766,3,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy(gptq_llmc-4b k=0.2),7.703,6.402,9.666,43.2086,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy_indep(gptq_llmc-4b k=0.2),7.703,6.402,9.666,45.4103,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_max(hqq-8b k=0.0),8.5,8.0,10.463,7.8198,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,HQQ-8 uniform,8.5,8.0,10.463,7.8198,,,1,baseline,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,FP16,16.0,16.0,,7.8166,,,1,baseline,declared_external
